"","pid","age_pre","gender_pre","migration_pre","language_pre","wv_cor_t_pre","wv_speed_t_pre","wv_sum_done_pre","wv_sum_score_pre","sv_cor_t_pre","sv_speed_t_pre","sv_sum_done_pre","sv_sum_score_pre","tv_cor_t_pre","tv_speed_t_pre","tv_sum_done_pre","tv_sum_score_pre","elfe_t_pre","ges_invalid_pre","klassenstufe.x","age_post","gender_post","migration_post","language_post","wv_cor_t_post","wv_speed_t_post","wv_sum_done_post","wv_sum_score_post","sv_cor_t_post","sv_speed_t_post","sv_sum_done_post","sv_sum_score_post","tv_cor_t_post","tv_speed_t_post","tv_sum_done_post","tv_sum_score_post","elfe_t_post","ges_invalid_post","klassenstufe.y","klassenstufe_post","dummy_foerderung"
"54",6011204,10,1,3,2,51,50,48,48,38,37,14,14,41,48,16,9,42,0,4,NA,3,NA,2,56,56,59,59,45,75,36,22,25,25,0,0,41,1,4,4,0
"55",6011205,9,2,1,1,38,38,34,33,37,35,13,13,38,41,12,7,36,0,4,10,2,1,1,38,38,39,38,39,38,18,18,34,37,12,7,35,0,4,4,1
"56",6011206,10,2,3,NA,50,50,48,47,49,47,21,21,43,58,22,10,47,0,4,11,2,3,2,59,58,62,62,54,54,28,27,43,61,25,12,52,0,4,4,0
"57",6011207,9,2,1,1,44,43,40,40,31,30,9,9,36,48,16,6,35,0,4,NA,2,1,1,34,34,34,33,33,34,15,13,30,37,12,5,30,0,4,4,1
"58",6011208,10,1,1,1,38,39,35,33,30,31,10,8,33,32,8,5,32,0,4,NA,1,1,1,36,37,38,36,27,38,18,8,36,61,25,8,31,0,4,4,1
"59",6011209,9,2,1,1,47,46,43,43,37,35,13,13,41,48,16,9,41,0,4,10,2,1,1,46,46,48,48,42,41,20,20,38,44,16,9,41,0,4,4,0
"60",6011210,10,2,1,1,44,43,40,40,46,44,19,19,41,49,17,9,43,0,4,10,2,1,1,49,49,52,51,42,41,20,20,38,57,18,9,42,0,4,4,0
"61",6011211,10,2,1,1,53,52,50,50,55,54,25,25,38,54,20,7,48,0,4,10,2,1,1,55,56,59,58,52,51,26,26,34,49,19,7,47,0,4,4,0
"62",6011213,9,2,1,1,54,55,53,52,44,43,18,18,36,44,14,6,44,0,4,10,2,1,1,49,48,51,51,43,44,22,21,34,40,14,7,41,0,4,4,0
"63",6011214,9,2,3,2,47,47,44,44,47,46,20,20,41,48,16,9,44,0,4,10,2,NA,2,45,45,47,47,50,52,27,25,41,66,26,11,45,0,4,4,0
"64",6011215,9,2,2,2,56,55,54,54,57,56,26,26,43,56,21,10,52,0,4,9,2,3,2,65,64,68,68,54,54,28,27,40,50,20,10,53,0,4,4,0
"65",6011216,9,1,1,1,39,38,34,34,47,46,20,20,38,43,13,7,40,0,4,10,1,1,1,49,48,51,51,54,52,27,27,38,45,17,9,47,0,4,4,0
"66",6011217,9,1,3,2,53,53,51,51,49,52,24,21,41,51,18,9,47,0,4,10,1,3,2,55,55,58,58,50,52,27,25,32,49,19,6,45,0,4,4,0
"67",6011218,9,1,3,3,29,28,22,22,25,25,1,1,25,25,1,1,25,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
